"","word","freq"
"ggreenwald","ggreenwald",11
"goooooood","goooooood",11
"greysanatomy","greysanatomy",11
"guess","guess",11
"horowitz","horowitz",11
"htt‚Ä","htt‚Ä",11
"httpstcoaejlqyaoq","httpstcoaejlqyaoq",11
"httpstcoassmgqxq","httpstcoassmgqxq",11
"httpstcocpciupxnv","httpstcocpciupxnv",11
"httpstcojppebazbb","httpstcojppebazbb",11
"httpstcolczxvxhld","httpstcolczxvxhld",11
"httpstcoogphsyq","httpstcoogphsyq",11
"httpstcooxjfes","httpstcooxjfes",11
"httpstcopqnjnfdgs","httpstcopqnjnfdgs",11
"httpstcotgyecz","httpstcotgyecz",11
"httpstcowfat‚Ä","httpstcowfat‚Ä",11
"httpstcoyoqonjlw","httpstcoyoqonjlw",11
"httpstcozcmbbpthh","httpstcozcmbbpthh",11
"kinda","kinda",11
"laurel","laurel",11
"laurenadinab","laurenadinab",11
"lexie","lexie",11
"lifted","lifted",11
"lol","lol",11
"makes","makes",11
"matters","matters",11
"mourn","mourn",11
"msoriginality","msoriginality",11
"munaism","munaism",11
"naaame","naaame",11
"nationwide","nationwide",11
"nni","nni",11
"officially","officially",11
"person","person",11
"questioned","questioned",11
"racism","racism",11
"road","road",11
"room","room",11
"sad","sad",11
"saw","saw",11
"shalondaloveee","shalondaloveee",11
"sparks","sparks",11
"stress","stress",11
"thread","thread",11
"till","till",11
"tooeduaubdedubueduaubdedubufeduaubcedubfubb","tooeduaubdedubueduaubdedubufeduaubcedubfubb",11
"tower","tower",11
"vodka","vodka",11
"weneedtrump","weneedtrump",11
"wordsnhtgawm","wordsnhtgawm",11
"yall","yall",11
"zurdo","zurdo",11
"‚Äú","‚Äú",10
"antise‚Ä","antise‚Ä",10
"ask","ask",10
"begins","begins",10
"berniesanders","berniesanders",10
"body","body",10
"calls","calls",10
"cast","cast",10
"country","country",10
"curtisrowser","curtisrowser",10
"debut","debut",10
"fbi","fbi",10
"finding","finding",10
"fun","fun",10
"fyeahtgawm","fyeahtgawm",10
"girlposts","girlposts",10
"holy","holy",10
"httpstcodzpnqjh","httpstcodzpnqjh",10
"httpstcogltqlw","httpstcogltqlw",10
"httpstcomkzzu‚Ä","httpstcomkzzu‚Ä",10
"httpstcooklvkbk","httpstcooklvkbk",10
"httpstcoptcvfbsinrt","httpstcoptcvfbsinrt",10
"i‚Äôm","i‚Äôm",10
"ibiebteam","ibiebteam",10
"inkdarapper","inkdarapper",10
"interview","interview",10
"jealous","jealous",10
"join","join",10
"level","level",10
"literally","literally",10
"may","may",10
"mean","mean",10
"mobsquad‚Änrt","mobsquad‚Änrt",10
"neeratanden","neeratanden",10
"office","office",10
"pence","pence",10
"protesters","protesters",10
"quotes","quotes",10
"real","real",10
"ruleoflaw","ruleoflaw",10
"sensanders","sensanders",10
"sign","sign",10
"smart","smart",10
